NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHX36	64	38.92148208618164	0.9944343	Yes	
row_1	TANC2	2814	0.0	0.75537	No	
row_2	BHLHB9	2839	0.0	0.7532829	No	
row_3	CAPRIN1	4569	0.0	0.60292196	No	
row_4	CAPRIN2	4570	0.0	0.60292196	No	
row_5	CDK5	4821	0.0	0.581181	No	
row_6	CDK5R1	4822	0.0	0.581181	No	
row_7	CFL1	4927	0.0	0.5721367	No	
row_8	DBN1	5389	0.0	0.53204626	No	
row_9	DBNL	5392	0.0	0.53187233	No	
row_10	EFNA1	5782	0.0	0.4980433	No	
row_11	EPHA4	5940	0.0	0.48438993	No	
row_12	LRP8	8097	0.0	0.29689535	No	
row_13	LZTS3	8202	0.0	0.2878511	No	
row_14	NGEF	9047	0.0	0.21445341	No	
row_15	PDLIM5	9590	0.0	0.16731888	No	
row_16	ABI2	9812	0.0	0.14809981	No	
row_17	PTEN	10190	0.0	0.11531435	No	
row_18	SIPA1L1	11136	0.0	0.03313329	No	
